filename,sha256,label,pred_label,rho,beta,bp_ref,rotation_k,latency_ms
00002PORTRAIT_00002_BURST20170722111600.jpg,76a5d4da1a3a6bc321cb932ece7684ed8b5553dd36c7271b5da67e5d2c17adaa,1,0,0.001223,0.0072,,,8595.3
00002PORTRAIT_00002_BURST494751013071025.jpg,521fda12750ca1478a0ec5bb1bab56ab6412ac7f56ab9c845d7050e267108e73,1,0,0.001409,0.0072,,,6982.1
00003sPORTRAIT_00003_BURST20170916214045913.jpg,ba850cc4714ee27b3ca31d22d3b0da0010284d50d4e6685658db50babd914fbb,1,0,0.001041,0.0072,,,5033.3
00100dPORTRAIT_00100_BURST20170819214801828_COVER.jpg,8e72bb3fc24a4d7ca6279766deaa9b6658329699e29c9c0aeedd8eaaf2a1daaa,1,0,0.001261,0.0072,,,5449.8
00100dPORTRAIT_00100_BURST20170820184002747_COVER.jpg,f9492fcf9576db10bbbe3add1723818ddcf4287f8c4a7f6c404a5b9e5f355fd3,1,0,0.000743,0.0072,,,5732.1
00100dPORTRAIT_00100_BURST20170914121422905_COVER (1).jpg,c1977ffdac8392589d8f28ee1fd17611abd82167eaaae0c867723977a7d38786,1,0,0.000775,0.0072,,,5466.6
00100dPORTRAIT_00100_BURST20170924123155135_COVER.jpg,a761298ee1d573aae396697eb8574b4c42996b0381576ef3e6e4b8f1ace8a29a,1,0,0.001213,0.0072,,,4336.9
00100dPORTRAIT_00100_BURST20170930171441158_COVER.jpg,08de2eb3b8ab4de0e95810df5b5247a688569b4963ca4ffa9a28c7febc36300d,1,0,0.001297,0.0072,,,4757.3
00100dPORTRAIT_00100_BURST20171001184930679_COVER.jpg,ac8df6bec97ee3b366e56f482a954152a84cea3ea65af672467b7cdd33339a29,1,0,0.001186,0.0072,,,7448.2
00100dPORTRAIT_00100_BURST20171013233121374_COVER.jpg,179d1e1e87e2f4adc553cb4175d1bee8b7722f1587ce9272d9c262abc118ba54,1,0,0.001106,0.0072,,,8449.8
00100dPORTRAIT_00100_BURST20171014154347382_COVER.jpg,147cb43412c4b7f07b02bacc680b34a64d6f870c517b9692f085a52d15a390e8,1,0,0.001039,0.0072,,,5747.8
00100dPORTRAIT_00100_BURST20171014234026160_COVER.jpg,a73ea52bc3bc4f44bc7f28dcd9997b8a78442d07984b2da5ec4057dc6967b6b7,1,0,0.000881,0.0072,,,4924.9
01 (1).jpg,c2d36581e1e196fa47953c8d34743d9cac49ded4f2d407fae27bb20821624802,1,0,0.001111,0.0072,,,7762.0
01 (1)_1.jpg,c3f99eaa43e9639a084455a34c76f7b06cf6e4c5688688ab4d001e764d28f80a,1,0,0.003288,0.0072,,,5123.8
01 (1)_2.jpg,ab84c20f717d95d719f23551df43d04067eae6538106b58b409e64c37f67baad,1,0,0.001234,0.0072,,,5281.9
01 (1)_3.jpg,b3dec5f6e6a684c9f61af1c637051390df90cb614d07a769d3ab1450230eb671,1,0,0.000909,0.0072,,,4944.6
01 (1)_4.jpg,5e43ce27726495edd2c6543d85fd19682f51d1a59f5e34f1572da5d05fde401c,1,1,0.076068,0.0072,BP04_12MP_NL_JPEG.mat,0,4829.7
01 (1)_5.jpg,c0f10d5810f469b227b32eb92b0cac76df3c982c0c175eebbf386cee17ace66f,,1,0.054398,0.0072,BP04_12MP_NL_JPEG.mat,0,5880.6
01 (1)_6.jpg,1c91b18caf5327234b737c9c5f2deaec29e4a251fabb199ed7f1a7cf6756910d,,1,0.073975,0.0072,BP04_12MP_NL_JPEG.mat,0,6933.3
01 (2).jpg,5d06b9f4373de4e9f95ac61de5d10a50543935fdc456fc85981fae4482c2cd3c,1,0,0.000945,0.0072,,,6408.4
01 (2)_1.jpg,e96411058cea58256f8b65edbd805fd16d188548bc429f105d6a8feaa15c03f8,1,0,0.0013,0.0072,,,5362.6
01 (2)_2.jpg,9b34e72b9ab6c45506f1c6b51ecebdab8e2ee32d11785d38d9078a8e90d83948,1,0,0.000782,0.0072,,,5237.1
01 (2)_3.jpg,7308caaee4e89efaf453ba795c32cd32e947483dd3b2b3a392c52ec9aeb09b21,1,0,0.000858,0.0072,,,5275.6
01 (2)_4.jpg,cf58b761dc4546c5ec31dbf8e9b83bd445152527c390fb3a38ce820b23549b97,1,1,0.094833,0.0072,BP04_12MP_NL_JPEG.mat,0,4429.1
01 (2)_5.jpg,6b23465e8f46c8f89c1105a3bf7f55e3d89ce0b8c7315e248f921d4a1cf8081d,,1,0.210189,0.0072,BP04_12MP_NL_JPEG.mat,0,4586.7
01 (2)_6.jpg,f0188242b6c41a0ea279c976279da661f00fccfaf8fdf0e5af34382002a1f6df,,1,0.146538,0.0072,BP04_12MP_NL_JPEG.mat,0,7444.5
01 (3).jpg,4aad40d72eea087060f18013b0e53e239c5ee88332695dc2b01411bc47749540,1,0,0.000741,0.0072,,,5505.1
01 (3)_1.jpg,89aa50eda32bb2410c77e85ea2c256f1961d51f5762d11f2b59c856f2095f816,1,0,0.002085,0.0072,,,5223.3
01 (3)_2.jpg,bfffbdfe68716526c90446a2276117e6f4c4636e33863e7ea7845999964f9d74,1,0,0.001115,0.0072,,,5684.6
01 (3)_3.jpg,54ff422bb81b3b9c84578e443af8fb58cb1f50bc032ba8d52342f85585358198,1,0,0.000781,0.0072,,,6914.2
01 (3)_4.jpg,e3499ae0f61f7c930cb4839446d2b25df2eb29b3cb60c0b0ac4653abc802fca7,1,1,0.073656,0.0072,BP04_12MP_NL_JPEG.mat,0,4623.5
01 (3)_5.jpg,6075d2ce8ceac29d534f22f46d05ac9bdd289f106ecbfb3178b76b0aabe77813,,0,0.006331,0.0072,,,4331.1
01 (3)_6.jpg,fd3f8d91504bbcc804fbe7ee844ae142d295ce75226afc398501c32c6325a83f,,1,0.058716,0.0072,BP04_12MP_NL_JPEG.mat,0,4545.5
01 (4).jpg,856952c31433320f066293b5314f1c1d55a3d916c2cc5e0bdd440464c753c8eb,1,0,0.000564,0.0072,,,5094.5
01 (4)_1.jpg,7dc520767cef441dbf699efe8ef8e77903d73736517f0acd94d864b6be265c33,1,0,0.001858,0.0072,,,5433.5
01 (4)_2.jpg,073f8e65796d10f59cfd723bf9d055339089cc922b5ba6c5001bd0d80112facd,1,0,0.000735,0.0072,,,4969.7
01 (4)_3.jpg,01255bde848addc9cb38898a5d1057a60fe2c5396df71dbdd88914fd60728ba5,1,0,0.00201,0.0072,,,5825.1
01 (4)_4.jpg,7f0672f7ab049c6910490bd064e6e73758546da14665a9e2b7cf7e25ccb97b7b,1,1,0.14761,0.0072,BP04_12MP_NL_JPEG.mat,0,6245.0
01 (4)_5.jpg,98b7d6d90aefaf9f44c958343d9cefa274f14c8f890c3d983e2597137b998292,,0,0.00706,0.0072,,,6781.9
01 (4)_6.jpg,ea72e04a81728f23b7e16d2d02d290e02d86345bb5b15b41b4e4c35413271c1c,,1,0.104413,0.0072,BP04_12MP_NL_JPEG.mat,0,10142.5
01 (5).jpg,e68157608615e1bd0290d7883afea540af825cd43f13db0f67f8f9232dd8dc17,1,0,0.001339,0.0072,,,8851.3
01 (5)_1.jpg,33400634fbc6ef237801a55c7f345a6b9f7514fe52ab22457d106f543bc527b0,1,0,0.001257,0.0072,,,7164.9
01 (5)_2.jpg,c8e7e53ec76cffe34165a26c0a62105257c29d31420941fc6c04577bd0f0aea7,1,0,0.000728,0.0072,,,5526.6
01 (5)_3.jpg,34401d0da22b367220d9d5d2fc7e179a1321501611a7d2f4c508fc4d5c64ef7c,1,0,0.001548,0.0072,,,7504.1
