filename,image_size,sha256,label,pred_label,rho,beta,bp_ref,rotation_k,latency_ms
00002PORTRAIT_00002_BURST20170722111600.jpg,756x1008,b08d6e4959c87a967092066e174afbce43fce3745cba5a975d6d984bc3e81d7c,1,,0.002833,0.0072,BP07_12MP_SLM_HEIC.mat,0,2367.3
00002PORTRAIT_00002_BURST494751013071025.jpg,756x1008,bfe073bc6a697a509e76c6d718c6213741da622e28bd474ba6b5373dc548defb,1,,0.002335,0.0072,BP05_12MP_SLM_HEIC.mat,0,2072.0
00003sPORTRAIT_00003_BURST20170916214045913.jpg,756x1008,de76ac8c61ca17e00c96df094b1b20ec5970650cdb48796810e0013e08b4ce87,1,,0.002517,0.0072,BP05_12MP_SLM_HEIC.mat,3,2130.9
00100dPORTRAIT_00100_BURST20170819214801828_COVER.jpg,756x1008,ba1cd576adfed3952262facafe16956f5c4cd7571654c1c9e0165b6d02c51859,1,,0.002037,0.0072,BP08_12MP_NL_JPEG.mat,3,1976.0
00100dPORTRAIT_00100_BURST20170820184002747_COVER.jpg,756x1008,8eb3c7fadb9935affc8acc7a5db2b5dee3a5d4353ecd97fbc44cd674e951697a,1,,0.003164,0.0072,BP08_12MP_NL_JPEG.mat,3,1636.2
00100dPORTRAIT_00100_BURST20170914121422905_COVER (1).jpg,756x1008,79580a79c94914836072af3a87dd407de1f1dee2c77c94994fb981648f4df37b,1,,0.001431,0.0072,BP05_12MP_NL_HEIC.mat,1,1495.0
00100dPORTRAIT_00100_BURST20170924123155135_COVER.jpg,1008x756,300af27cbc67c898e22e5967fa348856e6aa73ccf1d76b804c64179f40a0dda0,1,,0.002826,0.0072,BP05_12MP_SLM_HEIC.mat,3,1684.8
00100dPORTRAIT_00100_BURST20170930171441158_COVER.jpg,756x1008,031ee52f3a2e15a2c4c58d29bc1e2ac7facfa8265bc8295186504321ad06e6e5,1,,0.001961,0.0072,BP03_12MP_NL_JPEG.mat,3,1756.8
00100dPORTRAIT_00100_BURST20171001184930679_COVER.jpg,1008x756,a80786e9835a2585ba8a879250e83b6aee97537aad3f2496fe065bde4f3a1a37,1,,0.001546,0.0072,BP06_12MP_SLM_HEIC.mat,1,1592.4
00100dPORTRAIT_00100_BURST20171013233121374_COVER.jpg,756x1008,96a51599fe1faad2386a46b39fee43722e3d6182b4cc2f3803dc4723ff6d12ab,1,,0.003538,0.0072,BP05_12MP_SLM_HEIC.mat,0,1544.5
00100dPORTRAIT_00100_BURST20171014154347382_COVER.jpg,756x1008,53e099d98850500b48eee1273aa059b5f268fb9f59ba265155f5c23e6109411f,1,,0.002575,0.0072,BP08_12MP_NL_JPEG.mat,1,1454.4
