filename,label,source,notes
C01/bokeh/01 (1).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (2).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (3).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (4).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (5).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (6).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (7).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (8).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (9.0).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/bokeh/01 (9.1).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=bokeh
C01/flat/01 (1).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=flat
C01/flat/01 (2).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=flat
C01/flat/01 (3).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=flat
C01/flat/01 (4).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=flat
C01/flat/01 (5).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=flat
C01/nat/01 (1).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (2).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (3).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (4).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (5).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (6).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (7).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (8).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (9.0).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C01/nat/01 (9.1).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C01;brand=Huawei;model=P30 lite;mode=nat
C02/bokeh/01 (1).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (2).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (3).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (4).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (5).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (6).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (7).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (8).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (9.0).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/bokeh/01 (9.1).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=bokeh
C02/flat/01 (1).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=flat
C02/flat/01 (2).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=flat
C02/flat/01 (3).jpg,0,PrnuModernDevices_C01_C18,negative_control;device=C02;brand=Huawei;model=P20 pro;mode=flat
