filename,label,source,notes
extracted/D21_iPhone_X/IMG_2430.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2431.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2432.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2433.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2434.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2435.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2436.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2437.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2438.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2439.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2440.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2451.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2452.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2453.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2454.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2455.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
extracted/D21_iPhone_X/IMG_2456.jpg,1,Official Apple SDNP ZIP - direct released image,Device: D21_iPhone_X | Confirmed by dvazquezpadin/apple-sdnp README Image Dataset ZIP
