filename,sha256,label,pred_label,rho,beta,bp_ref,rotation_k,latency_ms
00002PORTRAIT_00002_BURST20170722111600.jpg,a5ceb4a797cba33ca0463813bb800aa52da84dea39bb8ce4e88f03846460662c,1,0,0.001223,0.0072,,,8848.7
00002PORTRAIT_00002_BURST494751013071025.jpg,0519ecf0400a4a3881e3d28179c5fdfc8e6e971e2c8ba66f101fdd18fb2530a7,1,0,0.001409,0.0072,,,8321.4
00003sPORTRAIT_00003_BURST20170916214045913.jpg,ba389c1cf023b859aed9ba8858ce3ea7a566a2fd773a2fe47e945688ec111dcb,1,0,0.001041,0.0072,,,5912.0
00100dPORTRAIT_00100_BURST20170819214801828_COVER.jpg,035cbf54d19d068815002748b3697b3ebf816c8a3f73b6d575ac11b82b0afcd2,1,0,0.001261,0.0072,,,6148.8
00100dPORTRAIT_00100_BURST20170820184002747_COVER.jpg,94ef1a78693a9b77aeb01f907e9b545b635a4a4c2e5c007a53c3e36998b988d1,1,0,0.000743,0.0072,,,5816.3
00100dPORTRAIT_00100_BURST20170914121422905_COVER (1).jpg,04533878b4add56d5ee0d7a2be00e09b42c79bd7d3f17c7f0330e9ad5eabcb3d,1,0,0.000775,0.0072,,,5452.3
00100dPORTRAIT_00100_BURST20170924123155135_COVER.jpg,29142ea967b5a156368ceb6dc59f2eaf16aca302df0e9e6f10e084587c6ef3ab,1,0,0.001213,0.0072,,,5905.9
00100dPORTRAIT_00100_BURST20170930171441158_COVER.jpg,5a75229a1e0ca8a9e488d33a72ce588c498b33caa9901a78b9b741a54ef96add,1,0,0.001297,0.0072,,,8609.0
00100dPORTRAIT_00100_BURST20171001184930679_COVER.jpg,03e98523a9c5db8c380284c0ebe468792ef759dc0380e87dd88e29f9aebbb21e,1,0,0.001186,0.0072,,,6911.9
00100dPORTRAIT_00100_BURST20171013233121374_COVER.jpg,848afe8546f62223341bfbc2bf0418252a61fa5f8326be0b74569e75ce0a6a7e,1,0,0.001106,0.0072,,,6908.3
