filename,sha256,label,pred_label,rho,beta,filter_type,bp_ref,rotation_k,latency_ms
00002portrait_00002_burst20170722111600.jpg,981dea987050f7e782feb2f751fa334d77d763e4a9d16a561d3a2dfc06a61670,0,0,0.00119,0.0072,gauss1,,,10573.0
00002portrait_00002_burst494751013071025.jpg,5123775563a1e3022bea89517324360872b380d58de769ea93792e469990a065,0,0,0.00168,0.0072,gauss1,,,9341.2
00003sportrait_00003_burst20170916214045913.jpg,45dd81ed8a9a121ac3ccf8df924b0817d8e3c30b39c1f06c2c063bfdbd243d80,0,0,0.000966,0.0072,gauss1,,,5346.1
00100dportrait_00100_burst20170819214801828_cover.jpg,ff9d9ea8f2450493bcab368b5ebc4d4a59db6442b1f3492130b15d67f38881da,0,0,0.001092,0.0072,gauss1,,,5298.7
00100dportrait_00100_burst20170820184002747_cover.jpg,e65a5d6131807efeccca98256c3eac2e17ede898b6735912d7c428cca37bec5c,0,0,0.00041,0.0072,gauss1,,,4863.8
00100dportrait_00100_burst20170914121422905_cover (1).jpg,ae75db8a4dd5136d793905b7faeef9765301fd7fab136fd60a61dbb5cc675892,0,0,0.000819,0.0072,gauss1,,,5526.3
00100dportrait_00100_burst20170924123155135_cover.jpg,74ad5aaef4fc7567aa2ebefb10fdbefcc9bbf47182945ae30cb887d775fe360c,0,0,0.000919,0.0072,gauss1,,,5126.0
00100dportrait_00100_burst20170930171441158_cover.jpg,762f7de5d9c7f3defb17aacbf2c5ed2dc81c7a2853df366062aeb8a2fa9af486,0,0,0.001195,0.0072,gauss1,,,5295.8
00100dportrait_00100_burst20171001184930679_cover.jpg,138bb64960211a028b1cc3babe3b5d49165b8e84b203e671bae4fc7564742366,0,0,0.000919,0.0072,gauss1,,,4807.3
00100dportrait_00100_burst20171013233121374_cover.jpg,daf7984c39bbf2fcc6211aa59e2b6b2b9bc91aaa848ad318713b54871547236a,0,0,0.000921,0.0072,gauss1,,,4840.8
00100dportrait_00100_burst20171014154347382_cover.jpg,0d7172f4565a9890bc13b2daf002352cdccafc30c681ed7f7749370af0c4a1e5,0,0,0.000677,0.0072,gauss1,,,5418.2
00100dportrait_00100_burst20171014234026160_cover.jpg,28b076eb4c118008b76900486bbd82dd8aff552852eb447b57f6b9aecdf7d733,0,0,0.000794,0.0072,gauss1,,,5511.5
01 (1)_1.jpg,e333242a7d8f174ac280d2f926bef82917de7feccc43cbf97bdfdae6c7884e2a,0,0,0.002347,0.0072,gauss1,,,5184.7
01 (1)_2.jpg,31ccea37f442463f36b256668dcf5f301bc28af83a822f938cf2015d414b2904,0,0,0.001365,0.0072,gauss1,,,6014.7
01 (1)_3.jpg,6f4c0e5dea5f675dde8f5cc4bf1fd857f26e5ed651b2e72c22aa39f2dfab782f,0,0,0.000899,0.0072,gauss1,,,5725.5
01 (1)_4.jpg,41784adb7fdede0435ae20c4c286f0de2832a7d1924346865a758760910b6e30,1,1,0.040521,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4830.1
01 (1)_5.jpg,51e4e548a79a4067b406616e5747ddbe4306576fcee11539e28061a7a65c4ae6,1,1,0.022729,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,5958.4
01 (1)_6.jpg,1ef247145ab5b594472e78c82684487ea33d18172d6f09396f4b6a3fbd34e0b0,1,1,0.02597,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4716.2
01 (2)_1.jpg,536f85a6013ad538f964d705624cebf80969f7aca9682f827fcdcb10d2352562,0,0,0.001867,0.0072,gauss1,,,4765.5
01 (2)_2.jpg,fc360b57536ac8bb23b55a5a8ce3e2118af6bab8f99f2ec498e109940275a2c3,0,0,0.000995,0.0072,gauss1,,,4557.1
01 (2)_3.jpg,d923a0ef864d0cbec77e66389eb38dea96df5de8589881691f5846d298c460d2,0,0,0.00304,0.0072,gauss1,,,4773.6
01 (2)_4.jpg,fccb06475266c4ea6ab0f65ce33e9990ab3a6e034301d3c675f8618089ed1e1e,1,1,0.044279,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4284.6
01 (2)_5.jpg,7b7a1bf4c5348cfc662231563d842b47a47a0e847dbe74f3aa8f415aad6dc097,1,1,0.042701,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,3948.3
01 (2)_6.jpg,36c4d02f24d2e2e155fee390e9dcf2267b0149bac5ba39fe8ffec60e54ca4e76,1,1,0.057255,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4209.1
01 (3)_1.jpg,f555217231befb9a04a27f1bca6a73e83d19ed31330563126426331969cfa82d,0,0,0.001915,0.0072,gauss1,,,4960.7
01 (3)_2.jpg,9947379ec1ce6cc87a5b3f3ad1ceb0be69d1e583edffc8f671350b730bb98345,0,0,0.001574,0.0072,gauss1,,,5344.0
01 (3)_3.jpg,b471ebf8e0dd20a1e8b174f6240e57fb2f8aac844b4cb79e8795724ccdc2000b,0,0,0.000911,0.0072,gauss1,,,6422.9
01 (3)_4.jpg,6a3b2edf0b50fe5da718c973fe1f3fda8cbacc5edcf153503d45be3a1a7d4457,1,1,0.033226,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4720.7
01 (3)_5.jpg,1498b7218542b5eaea632f1d4450dfea5a3ecd780d96028f53c66c99c8831c57,1,0,0.002748,0.0072,gauss1,,,4732.3
01 (3)_6.jpg,4fa751718549157282d353927fa948ea157b778e0b7322a9ede36e239ab3621e,1,1,0.023762,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4924.4
01 (4)_1.jpg,acecc34e2dccfb73f3d6a0edd068d5c8b22032540aef47c96baf6c534b02f80e,0,0,0.001621,0.0072,gauss1,,,5196.6
01 (4)_2.jpg,84dcb2ac265780bfb129fefef07db5359660e70aee471ff03f02b72e72d82387,0,0,0.000537,0.0072,gauss1,,,5359.5
01 (4)_3.jpg,11857c6ca6dbf44c9e49222d63b33eff65bb58ee9df99be65d25f08f78f9399f,0,0,0.00232,0.0072,gauss1,,,5411.6
01 (4)_4.jpg,955a6ab4272285740be889043420d6b1ab238756ff728be8676026caf409a9a6,1,1,0.075001,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4493.8
01 (4)_5.jpg,ce1763142ae8a3c69e5d7241d30dc1fbf192ed5a8fe3915c266e81bc8f8af100,1,0,0.002684,0.0072,gauss1,,,4169.3
01 (4)_6.jpg,f6f25136327068f7cc261e16c309a059118e06f53dad0ccdeebc10bdf183b369,1,1,0.069806,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4316.0
01 (5)_1.jpg,7f29394aaf2704ad80f57d11a108aff340e8d84580f522d9d585931dd12b301e,0,0,0.00098,0.0072,gauss1,,,5546.3
01 (5)_2.jpg,6290d504b544ba10b8bd79167e70889292502cf6e340e826c48d229102850f93,0,0,0.001163,0.0072,gauss1,,,5281.0
01 (5)_3.jpg,a0a086f83bcb4b2b913a79103303ec8c61453363768087f366d5bab380f96705,0,0,0.001557,0.0072,gauss1,,,5706.0
01 (5)_4.jpg,019d8f5f6eed2d095c04fec3557a7e01c15476832d8486498eeda7694816f2f6,1,1,0.046565,0.0072,gauss1,BP04_12MP_NL_JPEG.mat,0,4874.2
