filename,sha256,label,pred_label,rho,beta,filter_type,bp_ref,rotation_k,latency_ms
D02_iPhone_7_Plus_26007302297.jpg,3b9ef0075e05918b662364eec8616d8d732a59bfba7e9de015e469c47796902f,1,1,0.124917,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,0,6285.8
D02_iPhone_7_Plus_26014838817.jpg,28af38f11b5b08dd3c920e2b62e0beef728a42ed3468c790e4f855dd079cae15,1,1,0.177542,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3513.2
D02_iPhone_7_Plus_26014961487.jpg,f408c60c0dc74ea40e4f84476b463925d0270e7c6daaeb90ec6c3aaa0f1abaae,1,1,0.240768,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3456.9
D02_iPhone_7_Plus_26014961687.jpg,608643eb4cfe61e65abf2a0c3026cb1fd07c5a4381dce51604bf03f99f6bd91e,1,1,0.243424,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3184.9
D02_iPhone_7_Plus_26014961847.jpg,9dabd078b3ef0265b09d348dbbd8ee6debec42369a84bda2961295bf441104cb,1,1,0.222066,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3604.2
D02_iPhone_7_Plus_26435888907.jpg,2ca39af7d5427de1bab4b4d25fddfe2e1f4710f8416f416f80b03ebd059c621c,1,1,0.27484,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,0,3031.0
D02_iPhone_7_Plus_26435939707.jpg,c72b56d2bce0018e89f5149a118d92f7ac58c44247b9a52454cc0e7e0b21864a,1,1,0.245971,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,0,3190.7
D02_iPhone_7_Plus_26435985387.jpg,d48e3a94db4d48b758b7da42e94bcf3337d521370a955b9af4309ee4d2dc7ba1,1,1,0.33411,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,0,2949.1
D02_iPhone_7_Plus_27009346648.jpg,3322050b6443f5acd82a3853b9c60fcb5323a4d4d012d51278025d5d47a89301,1,1,0.119504,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,0,3164.0
D02_iPhone_7_Plus_27016689238.jpg,e01a498955efab74274725b3c95bdfb3bc34a498dbf36c6bfd85e6683ac159d4,1,1,0.245401,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3352.8
D02_iPhone_7_Plus_27016689668.jpg,83854388848a0bb7d071d544ff650c05978d9ee30956ca8c4e395cf0a35e97e4,1,1,0.198355,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3304.8
D02_iPhone_7_Plus_27016690078.jpg,fc2406a68f0d40c0f37a15c9191d918eb3f74a5e45d41fa785a42baced12893b,1,1,0.160029,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3054.9
D02_iPhone_7_Plus_27016864138.jpg,fbd8507243d66705c548852ebdbae5c432cda9c66977cb0272b5d23ab23400f6,1,1,0.259743,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,5627.6
D02_iPhone_7_Plus_27016864368.jpg,b935a04943d03edf6c48b79709b47c245de6488295718a4a1cf674d80069fcf6,1,1,0.238158,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,4654.2
D02_iPhone_7_Plus_27016866638.jpg,d3c9f478dfb4ed8127759da8d1488017323378b391d349f981e84c2d63de6df3,1,1,0.16502,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3230.5
D02_iPhone_7_Plus_27016897458.jpg,9af6c7f5eb657f292c07f2cad10922660f0be498b2b880d374a0beef2c394d18,1,1,0.435757,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3535.4
D02_iPhone_7_Plus_27016899098.jpg,546321a47c17e2a57347a8767ca32c03fc5de2cd0b7edb03c2612f4246671105,1,1,0.177615,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3334.5
D02_iPhone_7_Plus_27016899278.jpg,5c0bc598c705bd5ed196c9e00050cf33aca64c6a83eedc8e4a771e01612e9f4b,1,1,0.16917,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3157.4
D02_iPhone_7_Plus_27016900418.jpg,e7467ee10bb32d29288b377da371f7ffb0e4ed78dfec6786333e6c334e10b59f,1,1,0.16013,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3197.5
D02_iPhone_7_Plus_27017000558.jpg,50f6c88dfb3ff012c5d20972bb08ae433201082b19764e6675ad904ebaa1e2df,1,1,0.316718,0.0072,gauss1,BP02_12MP_NL_JPEG.mat,2,3120.1
